Title,Full_Address,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Views,Area,Road,Build Area,Posted,Amenities,City,Address
"House For Sale In Gaushala, Kathmandu","['Bhim Nidhi Tiwari Marg', ' Pingalasthan', ' Gaushala', ' Kathmandu']","NPR. 4,50,00,000",6,7,,1,South East,,950,0-5-0-0 Aana,20 Feet / Blacktopped,N/A Aana,1 year ago,"['Balcony', 'Wifi', 'Drainage', 'Internet', 'Water Supply', 'Water Tank', 'Parking', 'Garden', 'TV Cable']", Kathmandu, Gaushala
"Hepali : House For Sale In Dhapasi, Kathmandu","['Hepali', ' Dhapasi', ' Kathmandu']","NPR. 7,25,00,000 Onwards",1,4,,4,South East,,984,0-8-0-0 Aana,20 Feet,N/A Aana,1 year ago,"['Drainage', 'Garage', 'Parking']", Kathmandu, Dhapasi
"Hattiban : House For Sale In Hattiban, Lalitpur","['Lalitpur', ' Hattiban', ' Lalitpur']","NPR. 3,55,00,000 Onwards",0,3,,3,East,,857,0-6-0-0 Aana,14 Feet / Blacktopped,N/A Aana,1 year ago,"['Garage', 'Lawn', 'Parking']", Lalitpur, Hattiban
"House For Sale On 10 Aana Of Land : House For Sale In Chabahil, Kathmandu","['Panchamukhi Hanuman Mandir', ' Kharibot', ' Gujeshwori', ' Kumarigal-8', ' Chabahil', ' Chabahil', ' Kathmandu']","NPR. 70,00,000 Per Aana",10,6,4.0,3,North West,,585,10 Aana,10 Meter,5 Aana,1 year ago,"['Parking', 'Garden', 'Store Room', 'Drainage', 'Balcony', 'Water Supply', 'Modular Kitchen', 'Water Well']", Kathmandu, Chabahil
"House At Sitapaila : House For Sale In Sitapaila, Kathmandu","['Kalanki', 'kathmandu', ' Sitapaila', ' Kathmandu']","NPR. 3,55,00,000",6,4,3.0,2,East,2078.0,862,4 Aana,12 Feet / Paved,4 Aana,1 year ago,"['Balcony', 'Garden', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Parking']", Kathmandu, Sitapaila
"House For Sale : House For Sale In Sitapaila, Kathmandu","['Sitapaila', ' Sitapaila', ' Kathmandu']","NPR. 2,35,00,000",7,3,2.0,3,East,,1.2K,0-3-2-2 Aana,13 Feet / Gravelled,N/A Aana,1 year ago,"['Lawn', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']", Kathmandu, Sitapaila
"House For Sale : House For Sale In Khumaltar, Lalitpur","['21', ' Khumaltar', ' Lalitpur']","NPR. 4,00,00,000",3,4,,1,East,,680,0-3-2-1 Aana,0 Feet,1269.1 Sq. Feet,1 year ago,"['Parking', 'Balcony', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Store Room', 'Drainage', 'Air Condition', 'Water Supply', 'Microwave', 'Washing Machine', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet', 'Security Staff']", Lalitpur, Khumaltar
"2.5 Storey Bungalow Style House With Attached Bathrooms : House For Sale In Tokha, Kathmandu","['Near Grande International Hospital', ' Tokha', ' Kathmandu']","NPR. 2,60,00,000",3,4,3.0,1,South West,2018.0,1.1K,0-3-1-0 Aana,13 Feet / Gravelled,550 Sq. Meter,1 year ago,"['Garage', 'Parking', 'Balcony', 'Water Supply', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Solar Water', 'Water Well', 'Water Tank', 'Internet']", Kathmandu, Tokha
"Chandol : House For Sale In Chandol, Kathmandu","['Chandol', ' Chandol', ' Kathmandu']","NPR. 11,24,00,000 Onwards",4,4,,3,South East,,770,0-9-2-0 Aana,20 Feet / Blacktopped,N/A Aana,1 year ago,"['Lawn', 'Garage', 'Air Condition', 'Parking']", Kathmandu, Chandol
"Residential House : House For Sale In Imadol, Lalitpur","['Sikhar Tole', ' Bhadrakali Petrol Pump', ' Imadol', ' Lalitpur', ' Nepal', ' Imadol', ' Lalitpur']","NPR. 2,70,00,000 Total Price",2,3,3.0,1,North East,2073.0,6K,0-3-3-3 Aana,13 Feet / Gravelled,2300 Aana,1 year ago,"['Garage', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Well', 'Internet', 'Parking']", Lalitpur, Imadol
"Bhudanilkantha : House For Sale In Budhanilkantha, Kathmandu","['Bhudanilkantha way to deuba niwas', ' Budhanilkantha', ' Kathmandu']","NPR. 6,55,00,000 Onwards",0,0,,2,South,2002.0,650,0-7-0-0 Aana,14 Feet / Gravelled,N/A Aana,1 year ago,"['Lawn', 'Garage', 'Parking']", Kathmandu, Budhanilkantha
"Beautiful 7BHK House For SALE At Paiyatar, Kapan : House For Sale In Kapan, Kathmandu","['Paiyatar', ' Kapan', ' Kathmandu']","NPR. 1,75,00,000",7,5,4.0,0,West,,853,0-3-1-1.45 Aana,0 Feet,N/A Aana,1 year ago,[], Kathmandu, Kapan
"Modern 4BHK Home For Sale At Panipokhari Heights, Lazimpat : House For Sale In Lazimpat, Kathmandu","['Panipokhari Heights', ' Lazimpat', ' Kathmandu']","NPR. 5,50,00,000",0,0,,0,North,,1.1K,0-2-3-1 Aana,0 Feet,N/A Aana,1 year ago,[], Kathmandu, Lazimpat
"Modern 4BHK Home For Sale At Panipokhari Heights, Lazimpat : House For Sale In Panipokhari, Kathmandu","['Panipokhari Heights', ' Panipokhari', ' Kathmandu']","NPR. 6,75,00,000",0,0,,0,North,,918,2600 Sq. Feet,20 Feet,2600 Sq. Feet,1 year ago,[], Kathmandu, Panipokhari
"Chandol : House For Sale In Chandol, Kathmandu","['Chandol', ' Chandol', ' Kathmandu']","NPR. 11,25,00,000 Onwards",4,4,3.0,0,East,,346,0-9-2-0 Aana,20 Feet / Blacktopped,N/A Aana,1 year ago,"['Lawn', 'Drainage', 'Garage', 'Parking', 'Air Condition']", Kathmandu, Chandol
"Commercial Building For SALE At Kalanki, Kathmandu : House For Sale In Kalanki, Kathmandu","['Kalanki Chowk', ' Kalanki', ' Kathmandu']","NPR. 5,00,00,000",0,0,,0,West,,990,0-3-2-2 Aana,22 Feet,N/A Aana,1 year ago,[], Kathmandu, Kalanki
"House For Sale In Hattiban, Lalitpur","['Lalitpur hattiban', ' Hattiban', ' Lalitpur']","NPR. 5,75,00,000",5,5,3.0,2,West,2077.0,337,0-7-3-1 Aana,24 Feet / Gravelled,3000 Sq. Feet,1 year ago,"['Parking', 'Balcony', 'Water Supply', 'Garden', 'Modular Kitchen', 'Water Tank', 'Store Room', 'TV Cable', 'Wifi', 'Solar Water', 'Internet']", Lalitpur, Hattiban
"Bunglow For SALE At Bhimsengola, Old Baneshwor : House For Sale In Old Baneshwor, Kathmandu","['Bhimsengola', ' Old Baneshwor', ' Kathmandu']","NPR. 15,00,00,000",5,4,,7,West,,1K,1-5-3-3 Aana,14 Feet / Blacktopped,N/A Aana,1 year ago,[], Kathmandu, Old Baneshwor
"Modern 3BHK Home For Sale At Lamatar : House For Sale In Lamatar, Lalitpur","['Green Valley Homes', ' Lamatar', ' Lalitpur']","NPR. 1,55,00,000",3,2,,0,West,,2.5K,4 Aana,20 Feet / Blacktopped,1348.50 Sq. Feet,1 year ago,[], Lalitpur, Lamatar
"Modern 4BHK Home For Sale At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","['Budhanilkantha', ' Budhanilkantha', ' Kathmandu']","NPR. 5,50,00,000",4,4,,0,West,,594,0-8-1-2.4 Aana,13 Feet / Blacktopped,N/A Aana,1 year ago,[], Kathmandu, Budhanilkantha
"Modern 3BHK Home For Sale At Wasik, Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","['Wasik', ' Budhanilkantha', ' Kathmandu']","NPR. 7,00,00,000",3,4,,0,North,,621,9 Aana,0 Feet,N/A Aana,1 year ago,[], Kathmandu, Budhanilkantha
"Semi-Commercial Building For SALE At New Baneshwor, Kathmandu : House For Sale In Baneshwor, Kathmandu","['New Baneshwor', ' Baneshwor', ' Kathmandu']","NPR. 8,50,00,000",0,0,,0,South,,1.1K,0-8-0-1 Aana,10 Feet,N/A Aana,1 year ago,[], Kathmandu, Baneshwor
"Modern 6BHK Luxury Home For Sale At Taulung, Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","['Taulung', ' Budhanilkantha', ' Kathmandu']","NPR. 6,75,00,000",6,0,,0,South,,649,8 Aana,0 Feet,3700 Sq. Feet,1 year ago,[], Kathmandu, Budhanilkantha
"House For Sale At Budhanilkantha : House For Sale In Budhanilkantha, Kathmandu","['Bagmati', ' Budhanilkantha', ' Kathmandu']","NPR. 6,85,00,000",5,4,,2,East,2078.0,603,6.3 Aana,20 Feet,N/A Aana,1 year ago,"['Parking', 'Air Condition', 'Garden', 'Water Supply', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Water Tank', 'Water Well', 'Solar Water', 'Wifi', 'Internet']", Kathmandu, Budhanilkantha
"Beautiful House : House For Sale In Dallu, Kathmandu","['Dallu', ' Dallu', ' Kathmandu']","NPR. 4,50,00,000 Total price",0,0,2.0,0,South,,1.1K,0-4-0-0 Aana,13 Feet / Gravelled,N/A Aana,1 year ago,"['Balcony', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking']", Kathmandu, Dallu
"5 Annama Baneko 3.5 Talla House On Sold At Goldhunga Lolang Phant At Emergency Rs 29900000 : House For Sale In Goldhunga, Kathmandu","['LolangPhant Goldhunga', ' Goldhunga', ' Kathmandu']","NPR. 2,99,00,000",8,4,4.0,1,West,2075.0,829,5 Aana,10 Feet / Gravelled,1700 Aana,1 year ago,"['Balcony', 'Drainage', 'Water Supply', 'Parking']", Kathmandu, Goldhunga
"2.5 Storayed House In Sell : House For Sale In Gokarneshwor, Kathmandu","['Jorpati', ' Gokarneshwor', ' Kathmandu']","NPR. 1,43,00,000 Onwards",3,3,,0,South,,880,2.2 Aana,12 Feet,2.2 Aana,1 year ago,"['Parking', 'Drainage', 'Water Supply', 'Wifi', 'TV Cable']", Kathmandu, Gokarneshwor
"Beautiful House For Sale : House For Sale In Sanobharyang, Kathmandu","['Sano Bharyang', ' Sanobharyang', ' Kathmandu']","NPR. 2,90,00,000",4,3,,2,South East,2074.0,1.2K,0-3-2-0 Ropani,14 Feet / Blacktopped,N/A Ropani,1 year ago,"['Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Maintenance', 'Parking']", Kathmandu, Sanobharyang
"House For Sale In Ranibari, Kathmandu","['Kripa Marg', ' Ranibari', ' Kathmandu']","NPR. 3,60,00,000 Onwards",0,0,3.0,0,South,,918,3.5 Aana,12 Feet,N/A Aana,1 year ago,[], Kathmandu, Ranibari
"Attractive South-East Faced House For Sale : House For Sale In Changunarayan, Bhaktapur","['Samabesi Height', ' Changunarayan', ' Bhaktapur']","NPR. 1,80,00,000",5,3,3.0,1,South East,,3.9K,0-3-0-1 Aana,13 Feet,N/A Aana,1 year ago,"['Lawn', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking']", Bhaktapur, Changunarayan
"Commercial Building : House For Sale In Gaushala, Kathmandu","['Manpower Galli', ' Tilganga', ' Ghaushala', ' Kathmandu', ' Nepal', ' Gaushala', ' Kathmandu']","NPR. 8,50,00,000 Per Aana",0,8,8.0,1,North West,2070.0,1.4K,0-3-0-1 Aana,22 Feet / Blacktopped,1100 Sq. Feet,1 year ago,[], Kathmandu, Gaushala
"Commercial House : House For Sale In Mid Baneshwor, Kathmandu","['Katyani Chowk', ' Baneshwor', ' Kathmandu', ' Mid Baneshwor', ' Kathmandu']","NPR. 6,50,00,000 Total Price",9,3,4.0,2,South East,2048.0,953,0-5-0-1 Aana,26 Feet / Blacktopped,2400 Sq. Feet,1 year ago,[], Kathmandu, Mid Baneshwor
"House For Sale In Mulpani, Kathmandu","['Kathmandu kageshwori Manohar 06', ' Mulpani', ' Kathmandu']","NPR. 3,00,00,000 Onwards",0,0,3.0,0,South East,2077.0,459,0-4-0-3.99 Aana,23 Feet / Gravelled,3257.42 Sq. Feet,1 year ago,[], Kathmandu, Mulpani
"Residential Or Commercial House : House For Sale In Minbhawan, Kathmandu","['Minbhawan Area', ' Kathmandu', ' Nepal', ' Minbhawan', ' Kathmandu']","NPR. 8,00,00,000 Total Price",12,4,4.0,3,East,2062.0,2.7K,0-8-0-0 Aana,18 Feet / Concrete,2800 Aana,1 year ago,"['Lawn', 'Balcony', 'Deck', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Water Tank', 'Parking', 'Store Room']", Kathmandu, Minbhawan
"Attractive House : House For Sale In Raniban, Kathmandu","['Raniban', ' Kathmandu', ' Raniban', ' Kathmandu']","NPR. 4,75,00,000 Onwards",5,5,3.0,2,South,2078.0,3.4K,0-5-0-0 Aana,13 Feet / Paved,2267 Aana,1 year ago,"['Lawn', 'Balcony', 'Deck', 'Fencing', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking']", Kathmandu, Raniban
"Newly Built Residential House : House For Sale In Raniban, Kathmandu","['Yakaltar', ' Raniban', ' Kathmandu', ' Raniban', ' Kathmandu']","NPR. 3,00,00,000 Onwards",3,3,2.0,1,West,2078.0,963,0-3-0-0 Aana,13 Feet / Paved,1705 Sq. Feet,1 year ago,"['Balcony', 'Deck', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Parking']", Kathmandu, Raniban
"House For Sale : House For Sale In Raniban, Kathmandu","['Raniban', ' Raniban', ' Kathmandu']","NPR. 2,85,00,000",0,0,3.0,0,West,,886,0-4-0-0 Aana,18 Feet,N/A Aana,1 year ago,"['Lawn', 'Balcony', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking']", Kathmandu, Raniban
"Newly Built Residential House : House For Sale In Bhaisepati, Lalitpur","['Magargaun', ' Bhaisepati', ' Lalitpur', ' Bhaisepati', ' Lalitpur']","NPR. 3,00,00,000 Total Price",4,3,3.0,1,West,2078.0,3.6K,0-3-3-0 Aana,13 Feet / Paved,1954 Sq. Feet,1 year ago,"['Balcony', 'Deck', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Parking', 'Store Room']", Lalitpur, Bhaisepati
"Residential House For Sale : House For Sale In Sanobharyang, Kathmandu","['Sanobharyang', ' Kathmandu', ' Sanobharyang', ' Kathmandu']","NPR. 3,60,00,000 Total price",7,3,3.0,1,West,2078.0,623,0-4-1-0 Aana,16 Feet / Soil Stabilized,2785 Sq. Feet,1 year ago,"['Lawn', 'Balcony', 'Deck', 'Fencing', 'Modular Kitchen', 'Wifi', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'Internet', 'Parking', 'Store Room']", Kathmandu, Sanobharyang
"Hattiban New House On Sell(Dakshin Moda) : House For Sale In Hattiban, Lalitpur","['Lalitpur 29', ' Hatiban', ' near Pavitra school.', ' Hattiban', ' Lalitpur']","NPR. 2,56,00,000 Onwards",4,4,2.0,1,East,2020.0,866,3.75 Aana,11 Feet,3 Aana,1 year ago,"['Parking', 'Water Supply', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Solar Water', 'Water Well', 'Water Tank', 'Internet']", Lalitpur, Hattiban
"Beautiful Residential : House For Sale In Koteshwor, Kathmandu","['Thulodhara', ' Koteshwor', ' Kathmandu']","NPR. 3,00,00,000",6,3,3.0,2,North,2076.0,4.4K,0-4-0-0 Aana,15 Feet / Concrete,N/A Aana,1 year ago,"['Modular Kitchen', 'Drainage', 'Parking']", Kathmandu, Koteshwor
"Residential/ Commercial Home On Sale At Kapan, Shivapuri Chowk : House For Sale In Budhanilkantha, Kathmandu","['Kapan', ' Shivapuri chowk', ' Budhanilkantha', ' Kathmandu']","NPR. 2,80,00,000 Onwards",5,3,3.0,0,North West,,1.4K,0-4-0-3 Aana,13 Feet,0-4-0-3 Aana,1 year ago,"['Drainage', 'Balcony', 'Water Supply', 'Fencing', 'TV Cable', 'Solar Water', 'Water Tank', 'Store Room']", Kathmandu, Budhanilkantha
"House For Sale : House For Sale In Chandragiri, Kathmandu","['chandragiri 7', ' Chandragiri', ' Kathmandu']","NPR. 2,65,00,000",6,3,,4,West,2073.0,719,5 Aana,10 Feet / Paved,3.5 Aana,1 year ago,"['Parking', 'Balcony', 'Water Supply', 'Garden', 'TV Cable', 'Washing Machine', 'Wifi', 'Water Well', 'Water Tank', 'Internet']", Kathmandu, Chandragiri
"Mansion For Sale In Budanilkantha : House For Sale In Budhanilkantha, Kathmandu","['Wasik budhanilkanth', ' Budhanilkantha', ' Kathmandu']","NPR. 8,95,00,000 Per Ropani",7,5,3.0,8,South,,1.2K,17 Aana,16 Feet,4655 Sq. Feet,1 year ago,"['Lawn', 'Garage', 'Parking', 'Balcony', 'Fencing', 'Water Supply', 'CCTV', 'Garden', 'Modular Kitchen', 'TV Cable', 'Wifi', 'Water Well', 'Solar Water', 'Water Tank', 'Electricity Backup', 'Internet', 'Kids Playground', 'Store Room']", Kathmandu, Budhanilkantha
"House For Sale In Bafal Kathmandu : House For Sale In Bafal, Kathmandu","['Near Real Banquet', ' Bafal', ' Kathmandu']","NPR. 3,50,00,000 Onwards",6,3,,2,West,2000.0,969,5 Aana,12 Feet / Blacktopped,4500 Sq. Feet,1 year ago,"['Drainage', 'Fencing', 'Parking', 'Water Tank']", Kathmandu, Bafal
"Commercial House For Sale At Kalanki : House For Sale In Kalanki, Kathmandu","['Kalanki Chowk', ' Kalanki', ' Kathmandu']","NPR. 5,25,00,000",0,0,4.0,0,West,2000.0,1K,4.5 Aana,60 Meter / Blacktopped,4500 Sq. Feet,1 year ago,[], Kathmandu, Kalanki
"House On Sale At Gwarko Lalitpur : House For Sale In Gwarko, Lalitpur","['Basuki Basti', ' Gwarko', ' Lalitpur']","NPR. 6,00,00,000",3,6,3.0,6,East,,1.1K,12 Aana,13 Feet / Blacktopped,N/A Aana,1 year ago,"['Drainage', 'Garage', 'Parking', 'Water Supply']", Lalitpur, Gwarko
"3 Storey House At Kapan Height : House For Sale In Kapan, Kathmandu","['Kapan height', ' Kapan', ' Kathmandu']","NPR. 2,20,00,000 Onwards",3,3,3.0,2,East,2018.0,507,4 Aana,8 Feet / Gravelled,4 Aana,1 year ago,"['Drainage', 'Garage', 'Garden', 'Parking']", Kathmandu, Kapan
"House For Sale : House For Sale In Basundhara, Kathmandu","['Basundhara', ' Basundhara', ' Kathmandu']","NPR. 3,25,00,000",6,3,2.5,2,South,2069.0,6.4K,0-5-2-0 Aana,15 Feet / Gravelled,900 Aana,1 year ago,"['Modular Kitchen', 'TV Cable', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Parking']", Kathmandu, Basundhara
"Residential Bhangal : House For Sale In Bhangal, Kathmandu","['Bhangal', ' Bhangal', ' Kathmandu']","NPR. 3,50,00,000 Onwards",0,0,3.0,3,South,2021.0,542,0-5-0-0 Aana,14 Feet / Gravelled,N/A Aana,1 year ago,['Parking'], Kathmandu, Bhangal
"The CG Villa : House For Sale In Sunakothi, Lalitpur","['The CG Villa', ' Sunakothi', ' Lalitpur']","NPR. 3,50,00,000 Onwards",3,3,2.0,1,East,,2.6K,4 Aana,18 Feet,N/A Aana,1 year ago,[], Lalitpur, Sunakothi
"Residential House For Sale : House For Sale In Jorpati, Kathmandu","['Jorpati', ' Jorpati', ' Kathmandu']","NPR. 2,25,00,000",4,3,3.0,2,North West,2066.0,7.3K,0-3-0-0 Sq. Feet,14 Feet / Blacktopped,715 Sq. Feet,1 year ago,[], Kathmandu, Jorpati
"House For Sale In Mandikatar, Kathmandu","['Galkhutar naranthan', ' Mandikatar', ' Kathmandu']","NPR. 3,50,00,000",5,4,2.0,0,East,2075.0,1.2K,5 Aana,13 Feet / Blacktopped,N/A Aana,1 year ago,"['CCTV', 'Parking']", Kathmandu, Mandikatar
"Residential : House For Sale In Budhanilkantha, Kathmandu","['Bhudanilkantha', ' Budhanilkantha', ' Kathmandu']","NPR. 4,70,00,000",4,3,,2,South,,753,0-6-0-0 Aana,12 Feet / Paved,N/A Aana,1 year ago,"['Lawn', 'Drainage', 'Parking']", Kathmandu, Budhanilkantha
"Residential House : House For Sale In Tikathali, Lalitpur","['Pawan Prakriti School', ' Tikathali', ' Lalitpur', ' Tikathali', ' Lalitpur']","NPR. 1,95,00,000 Total Price",5,3,3.0,1,North,2075.0,3K,0-3-1-0 Aana,13 Feet / Soil Stabilized,2300 Sq. Feet,1 year ago,[], Lalitpur, Tikathali
"Dhapasi : House For Sale In Dhapasi, Kathmandu","['Dhapasi', ' Dhapasi', ' Kathmandu']","NPR. 6,10,00,000",4,3,3.0,3,East,2021.0,1.6K,0-10-0-0 Aana,12 Feet / Paved,N/A Aana,1 year ago,"['Lawn', 'Drainage', 'Parking']", Kathmandu, Dhapasi
"2.5 Storied House For Sale : House For Sale In Jorpati, Kathmandu","['55', ' Basuki Nagar', ' Naya Basti', ' PatiTar', ' Jorpati', ' Kathmandu']","NPR. 2,30,00,000",7,4,3.0,1,East,2013.0,614,4 Aana,10 Feet / Blacktopped,2000 Aana,1 year ago,"['Garage', 'Balcony', 'Fencing', 'Modular Kitchen', 'TV Cable', 'Washing Machine', 'Wifi', 'Drainage', 'Water Supply', 'Water Tank', 'Water Well', 'Internet', 'Parking']", Kathmandu, Jorpati
"Bhudanilkantha : House For Sale In Budhanilkantha, Kathmandu","['Bhudanilkantha', ' Budhanilkantha', ' Kathmandu']","NPR. 6,65,00,000",0,0,3.0,3,East,2021.0,803,0-6-3-0 Aana,20 Feet / Blacktopped,0-6-3-0 Aana,1 year ago,"['Lawn', 'Drainage', 'Parking']", Kathmandu, Budhanilkantha
"Chapali Height : House For Sale In Chapali, Kathmandu","['Bhudanilkantha', ' Chapali', ' Kathmandu']","NPR. 6,90,00,000",3,3,2.0,0,South,,1.2K,0-14-1-0 Aana,20 Feet / Blacktopped,N/A Aana,1 year ago,"['Lawn', 'Drainage', 'Garage', 'Parking']", Kathmandu, Chapali
"House For Sale In Chundevi, Kathmandu","['Chundevi', ' Chundevi', ' Kathmandu']","NPR. 7,25,00,000 Onwards",8,9,4.0,4,South East,,712,6 Aana,14 Feet,5300 Sq. Feet,1 year ago,"['Parking', 'Garden', 'Water Supply', 'Modular Kitchen', 'Solar Water', 'Security Staff', 'Balcony', 'Water Tank', 'Store Room']", Kathmandu, Chundevi
"House For Sale In Narephant : House For Sale In Narephate, Kathmandu","['Buddha Marga', ' Narephant', ' Narephate', ' Kathmandu']","NPR. 3,15,00,000",5,4,3.0,1,West,2018.0,960,4 Aana,14 Feet / Blacktopped,2300 Sq. Feet,1 year ago,[], Kathmandu, Narephate
"Simple Family House : House For Sale In Sitapaila, Kathmandu","['center of suvakamana tole', ' Sitapaila', ' Kathmandu']","NPR. 1,55,00,000 Onwards",0,3,3.0,0,South,,1.7K,2.5 Aana,13 Feet,2.5 Aana,1 year ago,[], Kathmandu, Sitapaila
"Modular House : House For Sale In Pepsicola, Kathmandu","['Manahara', ' Pepsicola', ' Kathmandu', ' Pepsicola', ' Kathmandu']","NPR. 2,30,00,000 Total price",5,5,3.0,2,North East,2074.0,2.5K,0-3-2-0 Aana,11 Feet / Gravelled,2800 Sq. Feet,1 year ago,"['Garage', 'Balcony', 'Deck', 'Garden', 'Modular Kitchen', 'TV Cable', 'Drainage', 'Water Tank', 'Parking']", Kathmandu, Pepsicola
"Residential Cum Commercial : House For Sale In Koteshwor, Kathmandu","['Mahadevsthan', ' Koteshwor', ' Kathmandu', ' Koteshwor', ' Kathmandu']","NPR. 2,95,00,000",5,3,3.0,2,North,2066.0,8.7K,0-3-1-2 Aana,26 Feet / Blacktopped,1842.62 Aana,1 year ago,"['Balcony', 'Drainage', 'Water Tank', 'Water Well', 'Parking']", Kathmandu, Koteshwor
"HOUSE IN BUDHANILKATHHA : House For Sale In Rudreshwor Chowk, Budhanilkantha, Kathmandu","['Ganapati Basti', ' Rudreshwor Chowk', ' Budhanilkantha', ' Kathmandu']","NPR. 3,25,00,000 Onwards",5,4,3.0,2,West,,3.8K,0-4-2-0 Aana,14 Feet,2500 Aana,1 year ago,"['Lawn', 'Balcony', 'Deck', 'Fencing', 'Modular Kitchen', 'Wifi', 'Drainage', 'Water Supply', 'Solar Water', 'Water Tank', 'Water Well', 'CCTV', 'Intercom', 'Internet', 'Parking', 'Store Room']", Kathmandu, Budhanilkantha
"Brand New House For Sale In Lalitpur Harisiddhi (Above Cancer Hospital ). Home Loan Facility. : House For Sale In Harisiddhi, Lalitpur","['Hattiban', ' Harisiddhi', ' Lalitpur']","NPR. 2,20,00,000",5,3,3.0,5,South,2078.0,2K,0-3-2-0 Aana,13 Feet / Gravelled,1197.87 Sq. Feet,1 year ago,"['Lawn', 'Drainage', 'Parking', 'Balcony', 'Fencing', 'Water Supply', 'Garden', 'Modular Kitchen', 'Solar Water', 'Water Well', 'Water Tank']", Lalitpur, Harisiddhi
"Main Area: Near Singhadurbar, Anamnagar House 11.5 Anna For Sale : House For Sale In Anamnagar, Kathmandu","['Anamnagar', ' Kathmandu', ' Anamnagar', ' Kathmandu']","NPR. 9,55,00,000",0,3,3.0,4,West,2055.0,1.1K,11.5 Aana,13 Feet,5 Aana,1 year ago,"['Water Supply', 'Fencing', 'Parking', 'Air Condition', 'Garage', 'Drainage', 'Garden', 'Wifi', 'Internet']", Kathmandu, Anamnagar
"House For Sale In Thankot, Kathmandu","['Thankot', ' Thankot', ' Kathmandu']","NPR. 55,00,000 Per Aana",0,0,,0,East,,1K,0-4-0 Aana,0 Feet / Gravelled,0-3-0 Sq. Feet,1 year ago,"['Garage', 'Air Condition', 'Parking', 'Water Supply', 'Garden']", Kathmandu, Thankot
"Bashundhara, Kathmandu : House For Sale In Basundhara, Kathmandu","['Bashundhara', ' Kathmandu', ' Basundhara', ' Kathmandu']","NPR. 3,50,00,000",2,1,2.0,1,East,2014.0,1.2K,0-5-5-0 Aana,12 Feet,N/A Aana,1 year ago,"['Drainage', 'Water Supply', 'Wifi', 'Garden', 'Parking', 'Balcony', 'Deck', 'Water Tank', 'Maintenance', 'Internet', 'TV Cable']", Kathmandu, Basundhara
"Residential Bungalow For Sale : House For Sale In Budhanilkantha, Kathmandu","['Deuba Chowk', ' Budhanilkantha', ' Kathmandu', ' Budhanilkantha', ' Kathmandu']","NPR. 12,50,00,000 Total price",5,6,3.0,5,North,2078.0,2.1K,1-7-0-0 Ropani,14 Feet / Concrete,3200 Sq. Feet,1 year ago,"['Lawn', 'Garage', 'Fencing', 'Modular Kitchen', 'Drainage', 'Water Supply', 'Solar Water', 'Internet', 'Parking']", Kathmandu, Budhanilkantha
"Attractive House : House For Sale In Budhanilkantha, Kathmandu","['Deuba Chowk', ' Budhanilkantha', ' Kathmandu', ' Budhanilkantha', ' Kathmandu']","NPR. 7,00,00,000 Total price",5,5,3.0,4,North,2078.0,3K,0-10-0-0 Aana,14 Feet / Concrete,2800 Sq. Feet,1 year ago,"['Lawn', 'Garage', 'Balcony', 'Deck', 'Fencing', 'Garden', 'Modular Kitchen', 'Water Supply', 'Water Tank', 'Water Well', 'Parking']", Kathmandu, Budhanilkantha
"House For Sale In Kapan, Kathmandu","['Jyotinagar Kapan', ' Kapan', ' Kathmandu']","NPR. 2,80,00,000 Onwards",6,3,3.0,2,North,2070.0,706,0-4-0-1 Aana,13 Feet / Blacktopped,2500 Sq. Feet,1 year ago,"['Drainage', 'Garage', 'Parking']", Kathmandu, Kapan
